1,0
1.1,0.095
1.2,0.182
1.3,0.262
1.4,0.336
1.5,0.405
1.6,0.470
1.7,0.531
1.8,0.588
1.9,0.642
2.0,0.693
2.1,0.742
2.2,0.788
2.3,0.833
2.4,0.875
2.5,0.916
2.6,0.955
2.7,0.993
2.8,1.029
2.9,1.064
3.0,1.098
3.1,1.131
3.2,1.163
3.3,1.194
3.4,1.223
3.5,1.252
3.6,1.280
3.7,1.308
3.8,1.334
3.9,1.360
4.0,1.386
4.1,1.411
4.2,1.435
4.3,1.458
4.4,1.481
4.5,1.503
4.6,1.525
4.7,1.547
4.8,1.568
4.9,1.588
5.0,1.609
5.1,1.629
5.2,1.648
5.3,1.667
5.4,1.686
5.5,1.704
5.6,1.722
5.7,1.739
5.8,1.757
5.9,1.774
6.0,1.790
6.1,1.807
6.2,1.824
6.3,1.840
6.4,1.855
6.5,1.871
6.6,1.886
6.7,1.901
6.8,1.915
6.9,1.930
7.0,1.944
7.1,1.958
7.2,1.973
7.3,1.987
7.4,2.000
7.5,2.014
7.6,2.027
7.7,2.040
7.8,2.052
7.9,2.065
8.0,2.077
8.1,2.090
8.2,2.102
8.3,2.114
8.4,2.127
8.5,2.139
8.6,2.150
8.7,2.162
8.8,2.173
8.9,2.184
9.0,2.195
9.1,2.206
9.2,2.217
9.3,2.227
9.4,2.238
9.5,2.248
9.6,2.259
9.7,2.270
9.8,2.280
9.9,2.290
10.0,2.300
10.1,2.310
10.2,2.320
10.3,2.329
10.4,2.339
10.5,2.348
10.6,2.358
10.7,2.367
10.8,2.376
10.9,2.385
11.0,2.396
11.1,2.404
11.2,2.413
11.3,2.422
11.4,2.431
11.5,2.439
11.6,2.448
11.7,2.456
11.8,2.465
11.9,2.473
12.0,2.481
12.1,2.489
12.2,2.497
12.3,2.507
12.4,2.515
12.5,2.523
12.6,2.531
12.7,2.538
12.8,2.546
12.9,2.554
13.0,2.561
13.1,2.569
13.2,2.576
13.3,2.584
13.4,2.591
13.5,2.598
13.6,2.607
13.7,2.614
13.8,2.621
13.9,2.628
14.0,2.635
14.1,2.642
14.2,2.649
14.3,2.656
14.4,2.663
14.5,2.670
14.6,2.676
14.7,2.683
14.8,2.690
14.9,2.696
15.0,2.704
15.1,2.711
15.2,2.717
15.3,2.724
15.4,2.730
15.5,2.736
15.6,2.743
15.7,2.749
15.8,2.755
15.9,2.761
16.0,2.768
16.1,2.774
16.2,2.780
16.3,2.786
16.4,2.792
16.5,2.799
16.6,2.805
16.7,2.811
16.8,2.817
16.9,2.822
17.0,2.828
17.1,2.834
17.2,2.840
17.3,2.845
17.4,2.851
17.5,2.857
17.6,2.862
17.7,2.868
17.8,2.873
17.9,2.880
18.0,2.885
18.1,2.891
18.2,2.896
18.3,2.902
18.4,2.907
18.5,2.912
18.6,2.917
18.7,2.923
18.8,2.928
18.9,2.933
19.0,2.938
19.1,2.943
19.2,2.948
19.3,2.953
19.4,2.960
19.5,2.965
19.6,2.970
19.7,2.975
19.8,2.980
19.9,2.985
20.0,2.990
